Component,Description,Part,References,Value,Footprint,Quantity Per PCB,Datasheet,Comment,Package,Manufacturer Part Number,Manufacturer,Notes,fit_field
1,LED GREEN DIFFUSED 0603 SMD,LED,D201 D202 D203 D204 D205 D206 D207 D208 D209 D210 D211 D212 D213 D214 D215 D216 D217 D218 D219 D220,GRN,LED_0603,20,http://www.osram-os.com/Graphics/XPic9/00183683_0.pdf,LT Q39G-Q1S2-25-1,0603,LT Q39G-Q1S2-25-1,OSRAM,,
2,RES 0603 JUMPER,R,R213 R214 R215 R217 R218 R219 R221 R222 R223 R228 R232 R236 R245 R246 R247 R249 R250 R251 R256 R260,0,R_0603,20,,RES 0603 JUMPER,0603,ERJ-S030R00V,Panasonic,any equivalent PN,
3,RES 0603 JUMPER,R,R216 R220 R224 R225 R226 R227 R229 R230 R231 R233 R234 R235 R248 R252 R253 R254 R255 R257 R258 R259,0,R_0603,20,,RES 0603 JUMPER,0603,ERJ-S030R00V,Panasonic,any equivalent PN,dnf
4,RES 0603 442 1%,R,R201 R205 R209 R237 R241,442,R_0603,5,,RES 0603 442 1%,0603,ERJ-3EKF4420V,Panasonic,any equivalent PN,
5,RES 0603 442 1%,R,R202 R203 R204 R206 R207 R208 R210 R211 R212 R238 R239 R240 R242 R243 R244,442,R_0603,15,,RES 0603 442 1%,0603,ERJ-3EKF4420V,Panasonic,any equivalent PN,dnf





Component Groups:,5
Component Count:,80
Fitted Components:,80
Number of PCBs:,1
Total components:,80
Schematic Version:,X1
Schematic Date:,
BoM Date:,Mon 04 Sep 2017 12:11:52 PM CDT
Schematic Source:,/home/bsmith/Documents/SaberForge/SBR001-202/SBR001-202.sch
KiCad Version:,Eeschema 4.0.7-e2-6376~58~ubuntu16.04.1
